Title,CourseId,Provider,Format,SkillIds,FromLevel,ToLevel,URL,Description,ResourceType
Communication Skills for Aspiring Managers,CS007412,LinkedIn Learning,Learning Path,communication,1,3,https://www.linkedin.com/learning/paths/communication-skills-for-aspiring-managers?leis=MVL,Build core communication skills for aspiring managers,Course
Communication Skills for Modern Management,CS003948,LinkedIn Learning,Course,communication,2,4,https://www.linkedin.com/learning/communication-skills-for-modern-management?dApp=204528272&leis=MVL,Advanced communication techniques for modern team leadership,Course
Applying AI as a Tech Leader,CS009156,LinkedIn Learning,Learning Path,ai-engineering,2,4,https://www.linkedin.com/learning/paths/applying-ai-as-a-tech-leader?leis=MVL,Strategic AI application and technical leadership for senior roles,Course
What Is Generative AI?,CS002731,LinkedIn Learning,Course,generative-ai,1,2,https://www.linkedin.com/learning/what-is-generative-ai?dApp=204528272&leis=MVL,Introduction to generative AI concepts and applications,Course
Building Generative AI Skills for Developers,CS008605,LinkedIn Learning,Learning Path,generative-ai;llm-development,2,3,https://www.linkedin.com/learning/paths/building-generative-ai-skills-for-developers?leis=MVL,Hands-on generative AI development skills for programmers,Course
Develop Your Skills with Large Language Models,CS006223,LinkedIn Learning,Learning Path,llm-development,2,4,https://www.linkedin.com/learning/paths/develop-your-skills-with-large-language-models?leis=MVL,Comprehensive LLM skills from intermediate to advanced,Course
Generative AI: Introduction to Large Language Models,CS004890,LinkedIn Learning,Course,generative-ai;llm-development,1,2,https://www.linkedin.com/learning/generative-ai-introduction-to-large-language-models?dApp=204528272&leis=MVL,Foundational concepts of large language models,Course
Generative AI: Working with Large Language Models,CS005617,LinkedIn Learning,Course,llm-development,2,3,https://www.linkedin.com/learning/generative-ai-working-with-large-language-models?dApp=204528272&leis=MVL,Practical hands-on work with LLMs including prompting and integration,Course
AI-Driven Software Development with OpenAI's Canvas,CS001344,LinkedIn Learning,Course,prompt-engineering,2,3,https://www.linkedin.com/learning/ai-driven-software-development-with-openai-s-canvas?dApp=204528272&leis=MVL,Using AI tools to accelerate software development workflows,Course
Building Agentic AI Systems for Developers,CS009872,LinkedIn Learning,Learning Path,agentic-ai,3,4,https://www.linkedin.com/learning/paths/building-agentic-ai-systems-for-developers?leis=MVL,Advanced agentic AI system design and implementation,Course
Become an AI Engineer,CS003021,LinkedIn Learning,Learning Path,ai-engineering,1,3,https://www.linkedin.com/learning/paths/become-an-ai-engineer?leis=MVL,Complete path from beginner to proficient AI engineer,Course
Fundamentals of AI Engineering,CS007560,LinkedIn Learning,Course,ai-engineering,1,2,https://www.linkedin.com/learning/fundamentals-of-ai-engineering-principles-and-practical-applications?dApp=204528272&leis=MVL,Core principles and practical foundations of AI engineering,Course
AI Engineering Essentials,CS002198,LinkedIn Learning,Course,ai-engineering,2,3,https://www.linkedin.com/learning/ai-engineering-essentials-navigating-the-tech-revolution?dApp=204528272&leis=MVL,Essential AI engineering skills for the current technology landscape,Course
Build with AI: Creating AI Agents with OpenAI's Responses API,CS008439,LinkedIn Learning,Course,agentic-ai;prompt-engineering,3,4,https://www.linkedin.com/learning/build-with-ai-creating-ai-agents-with-openai-s-responses-api?dApp=204528272&leis=MVL,Advanced course on building AI agents using OpenAI APIs,Course
Introduction to Career Skills in Software Development,CS005703,LinkedIn Learning,Course,programming,1,2,https://www.linkedin.com/learning/introduction-to-career-skills-in-software-development?dApp=204528272&leis=MVL,Foundational career skills for software developers,Course
Advance Your Skills in Natural Language Processing,CS006481,LinkedIn Learning,Learning Path,nlp,2,4,https://www.linkedin.com/learning/paths/advance-your-skills-in-natural-language-processing?leis=MVL,Intermediate to advanced NLP techniques and applications,Course
Natural Language Processing for Speech and Text,CS001927,LinkedIn Learning,Course,nlp,1,3,https://www.linkedin.com/learning/natural-language-processing-for-speech-and-text-from-beginner-to-advanced?dApp=204528272&leis=MVL,Complete NLP journey from fundamentals to advanced implementations,Course
Programming Foundations: Fundamentals,CS004056,LinkedIn Learning,Course,programming,1,2,https://www.linkedin.com/learning/programming-foundations-fundamentals-3?dApp=204528272&leis=MVL,Core programming concepts and foundational coding skills,Course
Programming Foundations: Beyond the Fundamentals,CS008714,LinkedIn Learning,Course,programming,2,3,https://www.linkedin.com/learning/programming-foundations-beyond-the-fundamentals?dApp=204528272&leis=MVL,Intermediate programming patterns and best practices,Course
Becoming a Product Manager: A Complete Guide,CS003689,LinkedIn Learning,Course,product-management;product-strategy;customer-research,1,3,https://www.linkedin.com/learning/becoming-a-product-manager-a-complete-guide?dApp=204528272&leis=MVL,Comprehensive guide covering all aspects of product management,Course
Explore a Career in Product Management,CS009235,LinkedIn Learning,Learning Path,product-management;customer-research,1,3,https://www.linkedin.com/learning/paths/explore-a-career-in-product-management?leis=MVL,Broad exploration of product management career path,Course
